"IdOffer","title","name","location","level","req","contract","link"
"9511","Développeur Front","Deloitte Nearshore","End","Bac +5 et plus - Master","java , angular , html , css , html5 , css3 , javascript , vuejs , reactjs","CDI","/offre-emploi-developpeur-front-end---aem-hf-recrutement-deloitte-nearshore-casablanca-132331.html"
"9512","Développeur Back","Deloitte Nearshore","End","Bac +5 et plus - Master","java","CDI","/offre-emploi-developpeur-back-end---aem-hf-recrutement-deloitte-nearshore-casablanca-132330.html"
"9502","BigData Developer ( Scala/Java)","OBS","Rabat","Bac +5 et plus","java , git , maven , scala , jenkins , jira , hadoop , unix , linux , agile","CDI","/offre-emploi-bigdata-developer-scalajava-recrutement-obs-rabat-130982.html"
"9504","Ingénieur développeur fullstack junior Angular","Altados","Casablanca","Bac +5 et plus","java , angular , php , angularjs , reactjs , j2ee , nodejs","CDI","/offre-emploi-ingenieur-developpeur-fullstack-junior-angular-recrutement-altados-casablanca-130900.html"
"9507","Ingénieur BI Confirmé","OBS","Rabat","Bac +5 et plus - Ecole d'ingénieur","sql , oracle , plsql , docker , jenkins , jira , unix , linux , agile","CDI","/offre-emploi-ingenieur-bi-confirme-recrutement-obs-rabat-130422.html"
"9508","Ingénieurs Cloud Storage / Confirmé (H/F)","Atos","Casablanca","Bac +4","oracle , aws , azure","CDI","/offre-emploi-ingenieurs-cloud-storage-confirme-hf-recrutement-atos-casablanca-132355.html"
"9500","Ingénieurs Consultants (Systèmes pour Marchés Financiers)","Perenity Software","Casablanca","Bac +5 et plus - Ecole d'ingénieur","plsql","CDI","/offre-emploi-ingenieurs-consultants-systemes-pour-marches-financiers-recrutement-perenity-software-casablanca-131788.html"
"9498","Ingénieurs Etude et Développement JAVA EE","Perenity Software","Casablanca","Bac +5 et plus - Ecole d'ingénieur","angular , css , html5 , spring , spring boot","CDI","/offre-emploi-ingenieurs-etude-et-developpement-java-ee-recrutement-perenity-software-casablanca-131946.html"
"9497","Ingénieur Développeur Java/JEE","Sitel Group","Casablanca","Bac +3 - Master - Ecole d'ingénieur","sql , hibernate , oracle , jquery , maven , spring , jenkins , sql server","CDI","/offre-emploi-ingenieur-developpeur-javajee---casablanca-recrutement-sitel-group-casablanca-132376.html"
"9496","Responsable Analytics","Preci","Casablanca","Bac +5 et plus","power bi","CDI","/offre-emploi-responsable-analytics-recrutement-preci-casablanca-131697.html"
"9494","Consultant ReactJS","Welink","Freelance","Bac +5 et plus","javascript , js , react , nodejs","Freelance","/offre-emploi-consultant-reactjs---freelance-recrutement-welink-rabat-132397.html"
"9492","Développeur Angular, .Net Core, ASP.Net","Involys","Casablanca","Bac +5 et plus - Ecole d'ingénieur","sql , angular , oracle , sql server","CDI","/offre-emploi-developpeur-angular-.net-core-asp.net-recrutement-involys-casablanca-132382.html"
"9493","EMEA Network Engineer","Sitel Group","Casablanca",,"aws","CDI","/offre-emploi-emea-network-engineer---casablanca-recrutement-sitel-group-casablanca-132378.html"
"9489","Analyste Programmeur .Net","Involys","Casablanca","Bac +5 et plus - Ecole d'ingénieur","sql , angular , css , mysql , oracle , javascript , php , angularjs , react , nodejs , xamarin , sql server","CDI","/offre-emploi-analyste-programmeur-.net-recrutement-involys-casablanca-132385.html"
"9488","Développeur Full","Involys","stack","Bac +5 et plus - Ecole d'ingénieur","sql , angular , oracle , scrum , agile , sql server","CDI","/offre-emploi-developpeur-full-stack-recrutement-involys-casablanca-132387.html"
"9479","Ingénieur développeur PHP Symfony 4 (H/F) confirmé.",,"Marrakech","Bac +5 et plus - Master - Ecole d'ingénieur","php","CDI","/offre-emploi-ingenieur-developpeur-php-symfony-4-hf-confirme.-recrutement-alter-ipso-marrakech-132419.html"
"9481","Pilote Test et déploiement anglophone","ALTEN Maroc","Fès",,"jira , agile","CDI","/offre-emploi-pilote-test-et-deploiement-anglophone-recrutement-alten-maroc-fes-130436.html"
"9483","Développeur VBA","ALTEN Maroc","Fès",,"java , python , vbnet , sap , agile","CDI","/offre-emploi-developpeur-vba-recrutement-alten-maroc-fes-131758.html"
"9486","Ingénieur Développement Java Senior (H/F)","Atos","Casablanca","Bac +5 et plus","java , jee , hibernate , angular , mysql , oracle , vuejs , spring , jpa , unix , agile","CDI","/offre-emploi-ingenieur-developpement-java-senior-hf-recrutement-atos-casablanca-132396.html"
"9487","Concepteur Développeur Symfony (H/F)","SQLI Maroc","Rabat",,"symfony","CDI","/offre-emploi-concepteur-developpeur-symfony-hf-recrutement-sqli-maroc-rabat-132394.html"
"9478","Vérification & Test engineer","ALTEN Maroc","Rabat",,"jira","CDI","/offre-emploi-verification-test-engineer-recrutement-alten-maroc-rabat-132426.html"
"9477","Concepteur Développeur SQL","Sofrecom Services Maroc","Technopolis","Bac +4","sql , java","CDI","/offre-emploi-concepteur-developpeur-sql-recrutement-sofrecom-services-maroc-technopolis-131719.html"
"9473","Web Master (H/F)","TNC The Next Clic","Casablanca","Bac +4 - Autre","html , css , javascript , php","CDI","/offre-emploi-web-master-hf-recrutement-tnc-the-next-clic-casablanca-132208.html"
"9474","Concepteur développeur JAVA JEE","Sofrecom Services Maroc","Technopolis","Bac +4","java , hibernate , mysql , git , spring , linux","CDI","/offre-emploi-concepteur-developpeur-java-jee-recrutement-sofrecom-services-maroc-technopolis-131747.html"
"9475","Concepteur développeur ESB","Sofrecom Services Maroc","Technopolis","Bac +4","sql , java , oracle","CDI","/offre-emploi-concepteur-developpeur-esb-recrutement-sofrecom-services-maroc-technopolis-131721.html"
"9476","Ingénieur DEVOPS","Sofrecom Services Maroc","Rabat","Bac +4","docker , mongodb , scrum , agile","CDI","/offre-emploi-ingenieur-devops-recrutement-sofrecom-services-maroc-rabat-131717.html"
"9470","Ingénieur Etudes Et Développement MOBILE HYBRIDE (H/F)","ARIA Tech","Casablanca","Bac +5 et plus - Master","java , jee , hibernate , angular , css , html5 , css3 , git , docker , maven , spring , jpa , scrum , agile , kotlin","CDI","/offre-emploi-ingenieur-etudes-et-developpement-mobile-hybride-hf-recrutement-aria-tech-casablanca-131536.html"
"9469","Ingénieur Etudes Et Développement Java Full Stack (H/F)","ARIA Tech","Casablanca","Bac +5 et plus - Master","java , jee , hibernate , angular , css , html5 , css3 , git , docker , maven , spring , jpa , scrum , agile , kotlin","CDI","/offre-emploi-ingenieur-etudes-et-developpement-java-full-stack-hf-recrutement-aria-tech-casablanca-130480.html"
"9461","Développeur Intégrateur Front","ALTEN Maroc","End",,"html5 , css3 , javascript , php , vuejs , reactjs","CDI","/offre-emploi-developpeur-integrateur-front-end-recrutement-alten-maroc-fes-130962.html"
"9462","Testeur/Automaticien Confirmé (H/F)","Atos","Casablanca","Bac +5 et plus - Ecole d'ingénieur","python , git , jenkins , agile","CDI","/offre-emploi-testeurautomaticien-confirme-hf-recrutement-atos-casablanca-132444.html"
"9463","Consultant AS400 (H/F)","Atos","Casablanca","Bac +5 et plus - Ecole d'ingénieur","cobol","CDI","/offre-emploi-consultant-as400-hf-recrutement-atos-casablanca-132443.html"
"9464","Teach Lead (H/F)","Label'Vie - Carrefour Market","Casablanca","Bac +4","saas , agile","CDI","/offre-emploi-teach-lead-hf-recrutement-labelvie---carrefour-market-casablanca-132435.html"
"9467","Ingénieur Etudes Et Développement PHP Confirmé (H/F)","ARIA Tech","Casablanca","Bac +5 et plus - Master","java , jee , hibernate , angular , css , html5 , css3 , git , docker , maven , spring , jpa , scrum , agile , kotlin","CDI","/offre-emploi-ingenieur-etudes-et-developpement-php-confirme-hf-recrutement-aria-tech-casablanca-131686.html"
"9468","Stage Pré","ARIA Tech","embauche Ingénieur Recette Applicative","Bac +5 et plus","git , jira","Stage","/offre-emploi-stage-pre-embauche-ingenieur-recette-applicative-recrutement-aria-tech-casablanca-131590.html"
"9460","Ingénieur Tests Fonctionnels et Automatisés","ALTEN Maroc","Rabat",,"jira , agile","CDI","/offre-emploi-ingenieur-tests-fonctionnels-et-automatises-recrutement-alten-maroc-rabat-130887.html"
